userId,GoalSetting,StrategicPlanning,SelfEvaluation,TaskStrategies,Elaboration,HelpSeeking,SRL,only lecture,Atry to lecture,explore,only asessment,Lcomplete to Atry,lecture to Acomplete,hrs,prior_exp,crs_str,crs_fin,int_topic,int_assess,edu,age,isfemale,emp_student,emp_job,completer,days_act,num_events,num_ses,grade,cluster,Gano
7dee19bd33989affc2b845e9af213f94234b5698,1.25,2.25,3.333333333,2.333333333,2.666666667,1.5,2.222222222,5,0,0,0,0,0,6,1,0,0,1,1,3,21,0,1,0,FALSO,1,1,1,0,0,0
ee2cb41a2e2dbf1b88ae1fc0b1cb29029472df4f,2.25,2.75,2.666666667,2.666666667,2,1,2.222222222,2,0,6,0,0,0,3,1,1,0,1,1,5,28,0,0,1,FALSO,2,8,4,2.999999933,0,0
f17696fbd771e27e3d0e082da4ef46b6dd2eac20,2,2,3.666666667,2,2.666666667,1,2.222222222,0,0,5,0,0,0,1,1,4,5,1,1,4,27,0,0,1,FALSO,9,10,14,9.642857313,0,0
bc02fcd7f496fc6668573a0b7ac087a05c20d91d,3,1.25,2.666666667,2,2.666666667,1.75,2.222222222,0,0,0,0,0,0,4,1,6,6,1,1,2,46,0,0,1,FALSO,3,1,8,24.1428569,0,0
fc35a041ff7d679cc697b8308fbdc698005768a9,2.5,2.5,2.333333333,2.333333333,2,1.75,2.236111111,0,0,0,0,0,0,7,0,0,0,1,1,3,23,0,1,0,FALSO,1,1,2,0,0,0
e5714a08c3b1cbb5de09d72feafd30a50d1cafd8,2.5,2.25,2.666666667,1.666666667,2.333333333,2,2.236111111,0,0,0,0,0,0,3,0,5,4,1,1,6,30,0,0,0,FALSO,2,1,1,0,0,0
dedb6fa8f546672eaa3ee933eab0db7ae804f47f,3,2.5,2,2,2.666666667,1.25,2.236111111,2,0,0,6,0,7,2,1,0,0,1,1,3,26,0,1,0,FALSO,10,1,27,42.88571477,0,0
00c76f58df29aa30b2c9be84bb21734d99d5b51f,3,3,3,1.666666667,1.333333333,1.5,2.25,0,0,0,0,0,0,2,0,0,0,1,1,3,39,0,0,0,FALSO,1,9,1,0,0,0
08a2b14e76956046cf40b167782dbcfca828d731,2,3.5,2,2,2,2,2.25,0,0,0,0,0,0,3,0,2,2,1,1,2,22,0,0,1,FALSO,1,4,3,0,0,0
b7715fca34121ad113fa7db11ea391b880b59646,1,2,2.333333333,2.666666667,3,2.5,2.25,0,0,0,0,0,0,2,0,5,5,1,1,4,38,0,0,1,FALSO,1,1,1,0,0,0
fd5f05a34f08d02bbfbf17c503b70c1e8341c0a2,2.5,2.25,2.666666667,2,2.333333333,1.75,2.25,0,0,0,0,0,0,4,0,1,0,1,1,2,17,0,1,0,FALSO,1,4,1,0,0,0
a3a02695bc3922511e6f6f5d9d999ccfbaadcecd,2.25,2.25,2.333333333,2,3,1.75,2.263888889,3,0,0,0,0,0,4,1,0,0,1,1,3,23,0,1,0,FALSO,4,4,5,0,0,0
f11a9271b43aaa44aa4a7ede885a642935e5950f,1.5,2.25,1.666666667,2.333333333,2.333333333,3.5,2.263888889,0,0,0,0,0,0,6,0,2,0,1,1,4,21,0,0,1,FALSO,1,1,1,0,0,0
86cb3db3fbbdbcc030924728a30d867e60a045f0,2.75,2.75,2,2.166666667,1.666666667,2.25,2.263888889,3,0,0,0,0,0,2,0,0,0,1,1,2,21,1,1,0,FALSO,10,1,2,0,0,0
c8ee36cde87a43040e4ffc08be9d50cc42657876,3,2.25,2.666666667,2.166666667,2,1.5,2.263888889,0,0,0,0,0,0,5,1,1,1,1,1,3,25,0,1,0,FALSO,1,2,1,0,0,0
d8c1b7755f73fc461794624f8567a0b08ed5a6be,1.75,2.5,3,2,2.666666667,1.75,2.277777778,4,0,0,0,0,0,4,1,5,5,0,0,3,47,0,0,1,FALSO,1,1,1,0,0,0
2f0353c04bf95969e9a969709778f9fddb84936a,2.25,2.25,2.666666667,2.333333333,2,2.25,2.291666667,1,0,0,0,0,0,3,1,1,0,1,1,4,32,0,0,1,FALSO,1,3,1,0,0,0
3c5821ee729f4acc4fc4d05b687cbdc9e9024711,0.75,1.5,3,2.666666667,3.333333333,2.5,2.291666667,0,0,0,0,0,0,7,1,0,0,1,1,3,24,0,0,1,FALSO,2,2,2,0,0,0
47004cb73c35377e28725153b1246bc1b182cfee,1.75,2.25,3,2.666666667,2.333333333,1.75,2.291666667,0,0,0,0,0,0,4,0,1,0,1,1,4,44,1,0,0,FALSO,1,3,1,0,0,0
ad5191e6eb82f3e5bfdeaa6a2e4d4fd9088af4a5,2,2.25,2.333333333,2.666666667,2,2.5,2.291666667,0,0,0,0,0,0,2,1,0,0,1,1,4,29,1,0,0,FALSO,1,2,1,0,0,0
be429002a945999304de312f0fb48c48f5a35ea1,2.5,3,2,1.833333333,1.666666667,2.75,2.291666667,0,0,0,4,0,0,5,0,0,0,1,1,2,19,0,1,0,FALSO,5,5,7,4.500000179,0,0
d885e7e2974e63bdea3789f6e44c9804869434bf,2,2.5,3,1.833333333,3,1.5,2.305555556,2,0,0,0,0,0,5,1,1,0,0,0,2,21,0,1,0,FALSO,3,6,8,0,0,0
e6f29edaf657f6ff01fde30a6405dc46ea3742a7,1,2.5,2.333333333,3,4,1,2.305555556,0,0,0,0,0,0,6,0,0,0,1,1,4,35,0,0,0,FALSO,2,1,2,0,0,0
79c094c7c45689c409428535666efecea5dda5b4,3,2.5,2.333333333,3.166666667,2.333333333,0.5,2.305555556,1,0,5,0,0,0,4,0,5,5,1,0,6,55,0,0,1,FALSO,2,2,2,5.999999866,0,0
c6b03a3d7b0cc09844a58555d2226300b1229a00,1.5,1.75,2.333333333,2.166666667,3.333333333,2.75,2.305555556,2,0,4,3,0,0,4,0,0,0,1,1,3,29,0,0,0,FALSO,5,2,10,25,0,0
0b5033a8334e5ac945703809e89a1de39e8f7e78,2,2.25,2,2.166666667,2.666666667,2.75,2.305555556,0,0,0,0,0,0,3,0,0,0,1,0,3,19,0,1,0,FALSO,6,2,6,0,0,0
49d8d3698b53dec2854e42b59b93f8a975b52f67,2,2.5,2.666666667,2,1.666666667,3,2.305555556,0,0,0,0,0,0,1,0,0,0,1,1,3,63,0,0,1,FALSO,1,10,1,0,0,0
5bd9a2c495d5c46396472451e986ff1d34c28e95,1.5,2.5,1.666666667,3.166666667,3,2,2.305555556,0,0,0,0,0,0,8,1,2,2,1,1,6,24,0,0,1,FALSO,1,6,2,0,0,0
0f994b9d96f2f151bb0591c248274c3c5dbd96a4,2,2,2.333333333,2.5,2.333333333,2.75,2.319444444,3,0,0,0,0,0,5,0,0,0,1,1,3,25,0,1,0,FALSO,1,1,2,0,0,0
e197af72b401022593de6cd4ecd811609899abbf,2,2,1.333333333,2.5,2.333333333,3.75,2.319444444,0,0,0,0,0,0,6,0,0,0,1,1,3,24,0,1,0,FALSO,2,1,5,0,0,0
4378f1e968c84f47cadbd81ce54a7e30ea4ba6db,1.5,2,3,2.333333333,2.333333333,2.75,2.319444444,0,0,0,3,0,0,4,1,0,0,1,1,4,23,0,1,0,FALSO,2,4,2,1.499999966,0,0
823ee438dba0c2cd872989c1360af78ee5ab11b2,2.5,1.75,2.666666667,2,3,2,2.319444444,6,0,0,4,0,0,2,1,2,0,1,1,4,20,0,1,0,FALSO,3,5,4,5.999999866,0,0
024fa8c265663447bc13acffbf2035030a99a0d6,2,1.75,3,1.833333333,2.666666667,2.75,2.333333333,0,0,0,0,0,0,4,0,0,0,1,1,4,,0,0,1,FALSO,1,5,1,0,0,0
a6fb1083a757aaa5b89c9d2520a0f52f498b8d06,2.25,2.25,2.333333333,2.166666667,3,2,2.333333333,0,0,0,0,0,0,5,0,0,0,1,1,4,21,0,1,0,FALSO,1,7,1,0,0,0
c886aeb25a3744437a65f12ba16550d8d5629950,2,2.5,2.333333333,2,2.666666667,2.5,2.333333333,0,0,4,0,0,0,4,1,0,0,1,1,2,22,0,1,0,FALSO,4,1,4,1.499999966,0,0
4b11541923a06a0ecd3e0775c89c59d8c687c9b5,2.75,2.75,3,2.166666667,2.333333333,1,2.333333333,3,0,0,0,0,0,3,0,0,0,1,1,5,21,0,1,0,FALSO,4,1,4,5.999999866,0,0
abfa671b032c4c1a74ffcfad3d77f1a6c361fe79,1,3,2.333333333,3,3.666666667,1,2.333333333,0,0,6,0,0,0,2,0,3,2,0,0,7,31,1,0,1,FALSO,5,3,6,16.28571451,0,0
